,股东名称,股份类型,持股数(股),持股比例,最终受益股份,增减(股),变动比例
0,淘宝（中国）软件有限公司   ,流通A股,"1,861,076,927",19.99%,20.0482%,不变,-
1,张近东  ,"流通A股,限售流通A股","1,640,181,431",17.62%,19.8465%,不变,-
2,江苏新新零售创新基金二期（有限合伙）,流通A股,"1,578,696,146",16.96%,16.96%,不变,-
3,江苏新新零售创新基金（有限合伙）,流通A股,"520,000,000",5.59%,5.59%,不变,-
4,李 李松强,流通A股,"281,526,374",3.02%,3.02%,不变,-
5,苏宁控股集团有限公司   ,流通A股,"254,411,429",2.73%,2.73%,不变,-
6,香港中央结算有限公司   香港,流通A股,"205,216,022",2.20%,-,"8,549,946",4.35%
7,苏宁电器集团有限公司   ,流通A股,"129,448,134",1.39%,1.39%,不变,-
8,金明,流通A股,"125,001,165",1.34%,1.34%,不变,-
9,陈金凤,流通A股,"73,039,097",0.78%,0.78%,不变,-
